대학명,학과명,전형명,년도,합격 등급
가천대,AI인문대학,가천바람개비전형,2025,4.28
가천대,간호학과,가천바람개비전형,2025,2.8
가천대,간호학과,가천바람개비전형,2024,2.82
가천대,간호학과,가천바람개비전형,2023,2.82
가천대,건축학부,가천바람개비전형,2025,3.94
가천대,건축학부,가천바람개비전형,2024,3.83
가천대,건축학부,가천바람개비전형,2023,3.75
가천대,경영학과,가천바람개비전형,2025,3.88
가천대,경영학부,가천바람개비전형,2024,3.88
가천대,경영학부,가천바람개비전형,2023,3.78
가천대,경제학과,가천바람개비전형,2025,4.06
가천대,경제학과,가천바람개비전형,2024,4.03
가천대,경제학과,가천바람개비전형,2023,3.96
가천대,경찰행정학과,가천바람개비전형,2024,3.23
가천대,경찰행정학과,가천바람개비전형,2023,2.94
가천대,관광경영학과,가천바람개비전형,2025,3.99
가천대,관광경영학과,가천바람개비전형,2024,4.29
가천대,관광경영학과,가천바람개비전형,2023,4.67
가천대,금융·빅데이터학부,가천바람개비전형,2025,4.02
가천대,금융수학과,가천바람개비전형,2023,4.14
가천대,금융수학전공,가천바람개비전형,2024,3.86
가천대,기계공학부,가천바람개비전형,2025,4.11
가천대,기계공학전공,가천바람개비전형,2024,4.16
가천대,기계공학전공,가천바람개비전형,2023,4.02
가천대,도시계획·조경학부,가천바람개비전형,2025,4.22
가천대,도시계획·조경학부,가천바람개비전형,2023,3.67
가천대,도시계획조경학부,가천바람개비전형,2024,3.87
가천대,물리치료학과,가천바람개비전형,2025,3.95
가천대,물리치료학과,가천바람개비전형,2024,2.9
가천대,물리치료학과,가천바람개비전형,2023,3.39
가천대,물리학과,가천바람개비전형,2024,4.18
가천대,물리학과,가천바람개비전형,2023,3.97
가천대,미디어커뮤니케이션학과,가천바람개비전형,2025,3.97
가천대,미디어커뮤니케이션학과,가천바람개비전형,2024,3.69
가천대,미디어커뮤니케이션학과,가천바람개비전형,2023,3.56
가천대,미술·디자인학부(패션디자인),가천바람개비전형,2023,4.09
가천대,바이오나노학과,가천바람개비전형,2025,3.4
가천대,바이오나노학과,가천바람개비전형,2024,3.42
가천대,바이오나노학과,가천바람개비전형,2023,3.49
가천대,바이오로직스학과,가천바람개비전형,2025,3.06
가천대,바이오로직스학과,가천바람개비전형,2024,2.75
가천대,반도체대학,가천바람개비전형,2025,3.7
